ID,Name,Description,Category,Location,Address,Address2,City,State,Zip,Date,Latitude,Longitude,URL,ImagePath,DetailLink,Permalink,Distance,
0,Center of Your Search,<strong>Public Schools</strong><br>National schools with student teacher ratios from Dept of Education.<br><em>Center</em>: Washington  DC<br><em>Coverage Area</em>: National<br><em>Update Frequency</em>: Annually<br><em>Last Updated</em>: 2010-03-24 01:27:59<br><a href="http://www.yourmapper.com/map/161/public-schools/national-schools-with-student-teacher-ratios-from.htm">Map Permalink</a><br><em>Powered by</em>: <a href="http://www.yourmapper.com/" target="power">Your Mapper</a>,0,,,,,,,,42.3584,-71.0598,,,http://www.yourmapper.com/,http://www.yourmapper.com/map/161/public-schools/national-schools-with-student-teacher-ratios-from.htm,0
"250279000230","ELIOT ELEMENTARY","Students: 201&lt;br&gt;Pupil/Teacher Ratio: 11 (18.3 FTE)&lt;br&gt;Kindergarten to 7th Grade","1","","16 CHARTER STREET","","BOSTON","MA","02113","","42.366249","-71.053398","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000230","http://www.yourmapper.com/details/161/250279000230/eliot-elementary.htm","0.7171"
"250279000277","JOSIAH QUINCY","Students: 791&lt;br&gt;Pupil/Teacher Ratio: 14.7 (53.7 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","885 WASHINGTON STREET","","BOSTON","MA","02111","","42.348099","-71.064499","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000277","http://www.yourmapper.com/details/161/250279000277/josiah-quincy.htm","0.8023"
"250003900599","BOSTON RENAISSANCE CHARTER  PUBLIC SCHOOL","Students: 1250&lt;br&gt;Pupil/Teacher Ratio: 12.7 (98.2 FTE)&lt;br&gt;Kindergarten to 6th Grade","1","","250 STUART STREET","","BOSTON","MA","02116","","42.350220","-71.069061","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250003900599","http://www.yourmapper.com/details/161/250003900599/boston-renaissance-charter--public-school.htm","0.8804"
"250279001296","QUINCY UPPER SCHOOL","Students: 488&lt;br&gt;Pupil/Teacher Ratio: 11.9 (41.1 FTE)&lt;br&gt;6th Grade to 12th Grade","4","","152 ARLINGTON STREET","","BOSTON","MA","02116","","42.348438","-71.068962","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279001296","http://www.yourmapper.com/details/161/250279001296/quincy-upper-school.htm","0.9585"
"250279000244","HARVARD-KENT","Students: 446&lt;br&gt;Pupil/Teacher Ratio: 10.8 (41.4 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","50 BUNKER HILL STREET","","CHARLESTOWN","MA","02129","","42.376801","-71.057098","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000244","http://www.yourmapper.com/details/161/250279000244/harvardkent.htm","1.3206"
"250279000217","SNOWDEN INTL HIGH","Students: 414&lt;br&gt;Pupil/Teacher Ratio: 15.6 (26.5 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","150 NEWBURY STREET","","BOSTON","MA","02116","","42.350800","-71.077599","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000217","http://www.yourmapper.com/details/161/250279000217/snowden-intl-high.htm","1.3774"
"250279000342","WILLIAM MCKINLEY","Students: 430&lt;br&gt;Pupil/Teacher Ratio: 8 (53.7 FTE)&lt;br&gt;1st Grade to 12th Grade","4","","90 WARREN AVENUE","","BOSTON","MA","02116","","42.344501","-71.073402","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000342","http://www.yourmapper.com/details/161/250279000342/william-mckinley.htm","1.3774"
"250279000333","WARREN-PRESCOTT","Students: 413&lt;br&gt;Pupil/Teacher Ratio: 13.3 (31.1 FTE)&lt;br&gt;Prekindergarten to 8th Grade","1","","50 SCHOOL STREET","","CHARLESTOWN","MA","02129","","42.377899","-71.064598","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000333","http://www.yourmapper.com/details/161/250279000333/warrenprescott.htm","1.4271"
"250279000201","BLACKSTONE","Students: 597&lt;br&gt;Pupil/Teacher Ratio: 11.5 (52 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","380 SHAWMUT AVENUE","","BOSTON","MA","02118","","42.340698","-71.072456","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000201","http://www.yourmapper.com/details/161/250279000201/blackstone.htm","1.5478"
"250279000216","CLARENCE R EDWARDS MIDDLE","Students: 297&lt;br&gt;Pupil/Teacher Ratio: 9.1 (32.8 FTE)&lt;br&gt;6th Grade to 8th Grade","2","","28 WALKER STREET","","CHARLESTOWN","MA","02129","","42.378799","-71.067596","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000216","http://www.yourmapper.com/details/161/250279000216/clarence-r-edwards-middle.htm","1.5478"
"250279000215","CHARLESTOWN HIGH","Students: 1226&lt;br&gt;Pupil/Teacher Ratio: 15.3 (79.9 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","240 MEDFORD STREET","","CHARLESTOWN","MA","02129","","42.380299","-71.060898","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000215","http://www.yourmapper.com/details/161/250279000215/charlestown-high.htm","1.5549"
"250279000254","JAMES CONDON ELEM","Students: 643&lt;br&gt;Pupil/Teacher Ratio: 12 (53.5 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","200 D STREET","","SOUTH BOSTON","MA","02127","","42.337399","-71.052902","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000254","http://www.yourmapper.com/details/161/250279000254/james-condon-elem.htm","1.5691"
"250279000219","DANTE ALIGHIERI","Students: 128&lt;br&gt;Pupil/Teacher Ratio: 23.3 (5.5 FTE)&lt;br&gt;Kindergarten to 5th Grade","1","","37 GOVE STREET","","EAST BOSTON","MA","02128","","42.371498","-71.037697","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000219","http://www.yourmapper.com/details/161/250279000219/dante-alighieri.htm","1.8247"
"250279000321","SAMUEL ADAMS","Students: 231&lt;br&gt;Pupil/Teacher Ratio: 11.2 (20.7 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","165 WEBSTER STREET","","EAST BOSTON","MA","02128","","42.365700","-71.035103","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000321","http://www.yourmapper.com/details/161/250279000321/samuel-adams.htm","1.8318"
"250008601996","COMMUNITY CHARTER SCHOOL OF CAMBRIDGE","Students: 228&lt;br&gt;Pupil/Teacher Ratio: 9.7 (23.5 FTE)&lt;br&gt;7th Grade to 11th Grade","4","","245 BENT STREET","","CAMBRIDGE","MA","02141","","42.367500","-71.084602","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250008601996","http://www.yourmapper.com/details/161/250008601996/community-charter-school-of-cambridge.htm","1.8744"
"250279000272","JOSEPH J HURLEY","Students: 307&lt;br&gt;Pupil/Teacher Ratio: 13.9 (22.1 FTE)&lt;br&gt;Prekindergarten to 6th Grade","1","","70 WORCESTER STREET","","BOSTON","MA","02118","","42.339298","-71.078102","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000272","http://www.yourmapper.com/details/161/250279000272/joseph-j-hurley.htm","1.8815"
"250279000300","PATRICK F GAVIN MIDDLE","Students: 460&lt;br&gt;Pupil/Teacher Ratio: 11.7 (39.2 FTE)&lt;br&gt;6th Grade to 8th Grade","2","","215 DORCHESTER STREET","","SOUTH BOSTON","MA","02127","","42.333500","-71.050499","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000300","http://www.yourmapper.com/details/161/250279000300/patrick-f-gavin-middle.htm","1.8886"
"250279000224","DONALD MCKAY","Students: 673&lt;br&gt;Pupil/Teacher Ratio: 15.6 (43.2 FTE)&lt;br&gt;Kindergarten to 8th Grade","1","","122 COTTAGE STREET","","EAST BOSTON","MA","02128","","42.368912","-71.034218","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000224","http://www.yourmapper.com/details/161/250279000224/donald-mckay.htm","1.9667"
"250279000271","MARIO UMANA MIDDLE SCHOOL ACADEMY","Students: 600&lt;br&gt;Pupil/Teacher Ratio: 12.1 (49.7 FTE)&lt;br&gt;6th Grade to 8th Grade","2","","312 BORDER STREET","","EAST BOSTON","MA","02128","","42.378700","-71.040398","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000271","http://www.yourmapper.com/details/161/250279000271/mario-umana-middle-school-academy.htm","1.9951"
"250279000292","MICHAEL J PERKINS","Students: 211&lt;br&gt;Pupil/Teacher Ratio: 11.9 (17.7 FTE)&lt;br&gt;Kindergarten to 5th Grade","1","","50 BURKE STREET","","SOUTH BOSTON","MA","02127","","42.331402","-71.051300","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000292","http://www.yourmapper.com/details/161/250279000292/michael-j-perkins.htm","2.0093"
"250327000444","KENNEDY-LONGFELLOW","Students: 381&lt;br&gt;Pupil/Teacher Ratio: 10.9 (34.9 FTE)&lt;br&gt;Prekindergarten to 8th Grade","1","","158 SPRING STREET","","CAMBRIDGE","MA","02139","","42.369560","-71.086647","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250327000444","http://www.yourmapper.com/details/161/250327000444/kennedylongfellow.htm","2.0661"
"250279000249","HUGH ROE ODONNELL","Students: 251&lt;br&gt;Pupil/Teacher Ratio: 16.7 (15 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","33 TRENTON STREET","","EAST BOSTON","MA","02128","","42.378300","-71.038101","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000249","http://www.yourmapper.com/details/161/250279000249/hugh-roe-odonnell.htm","2.0874"
"250279002026","ODYSSEY HIGH SCHOOL","Students: 360&lt;br&gt;Pupil/Teacher Ratio: 17.1 (21 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","95 G. STREET","","SOUTH BOSTON","MA","02127","","42.333199","-71.044502","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279002026","http://www.yourmapper.com/details/161/250279002026/odyssey-high-school.htm","2.0945"
"250279002019","MONUMENT HIGH SCHOOL","Students: 359&lt;br&gt;Pupil/Teacher Ratio: 13.3 (27 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","95 G. STREET","","SOUTH BOSTON","MA","02127","","42.333199","-71.044502","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279002019","http://www.yourmapper.com/details/161/250279002019/monument-high-school.htm","2.0945"
"250279002016","EXCEL HIGH SCHOOL","Students: 393&lt;br&gt;Pupil/Teacher Ratio: 16.4 (24 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","95 G. STREET","","SOUTH BOSTON","MA","02127","","42.333199","-71.044502","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279002016","http://www.yourmapper.com/details/161/250279002016/excel-high-school.htm","2.0945"
"250279000210","CARTER DEVELOP DAY CARE","Students: 24&lt;br&gt;Pupil/Teacher Ratio: 4.8 (5 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","396 NORTHAMPTON STREET","","BOSTON","MA","02118","","42.340500","-71.083702","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000210","http://www.yourmapper.com/details/161/250279000210/carter-develop-day-care.htm","2.1229"
"250279000257","JAMES OTIS","Students: 279&lt;br&gt;Pupil/Teacher Ratio: 11.6 (24 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","218 MARION STREET","","EAST BOSTON","MA","02128","","42.375401","-71.034500","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000257","http://www.yourmapper.com/details/161/250279000257/james-otis.htm","2.1655"
"250007401751","UPHAMS CORNER CHARTER SCHOOL","Students: 168&lt;br&gt;Pupil/Teacher Ratio: 9.1 (18.5 FTE)&lt;br&gt;5th Grade to 8th Grade","2","","320 HUNTINGTON AVENUE","","BOSTON","MA","02115","","42.339352","-71.035820","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250007401751","http://www.yourmapper.com/details/161/250007401751/uphams-corner-charter-school.htm","2.1726"
"250279000275","JOSEPH P TYNAN","Students: 337&lt;br&gt;Pupil/Teacher Ratio: 12.7 (26.5 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","650 E FOURTH STREET","","SOUTH BOSTON","MA","02127","","42.334702","-71.038803","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000275","http://www.yourmapper.com/details/161/250279000275/joseph-p-tynan.htm","2.2507"
"250002600530","CITY ON A HILL CHARTER PUBLIC SCHOOL","Students: 282&lt;br&gt;Pupil/Teacher Ratio: 15.2 (18.6 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","58 CIRCUIT STREET","","ROXBURY","MA","02119","","42.340710","-71.087486","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250002600530","http://www.yourmapper.com/details/161/250002600530/city-on-a-hill-charter-public-school.htm","2.3359"
"250279002006","ORCHARD GARDENS","Students: 669&lt;br&gt;Pupil/Teacher Ratio: 12.1 (55.1 FTE)&lt;br&gt;Prekindergarten to 8th Grade","1","","906 ALBANY STREET","","ROXBURY","MA","02119","","42.330269","-71.077507","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279002006","http://www.yourmapper.com/details/161/250279002006/orchard-gardens.htm","2.3572"
"250279000226","EAST BOSTON HIGH","Students: 1491&lt;br&gt;Pupil/Teacher Ratio: 16.6 (89.6 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","86 WHITE STREET","","EAST BOSTON","MA","02128","","42.380901","-71.034882","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000226","http://www.yourmapper.com/details/161/250279000226/east-boston-high.htm","2.3856"
"250279000322","SAMUEL W MASON","Students: 211&lt;br&gt;Pupil/Teacher Ratio: 10.9 (19.3 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","150 NORFOLK AVENUE","","ROXBURY","MA","02119","","42.326099","-71.070801","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000322","http://www.yourmapper.com/details/161/250279000322/samuel-w-mason.htm","2.4211"
"250327000228","KING OPEN","Students: 513&lt;br&gt;Pupil/Teacher Ratio: 13.6 (37.8 FTE)&lt;br&gt;Prekindergarten to 8th Grade","1","","850 CAMBRIDGE STREET","","CAMBRIDGE","MA","02139","","42.372108","-71.091377","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250327000228","http://www.yourmapper.com/details/161/250327000228/king-open.htm","2.4424"
"250005401258","HEALTH CAREERS ACADEMY CHARTER SCHOOL","Students: 208&lt;br&gt;Pupil/Teacher Ratio: 11.4 (18.2 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","360 HUNTINGTON AVENUE","","BOSTON","MA","02115","","42.339989","-71.089058","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250005401258","http://www.yourmapper.com/details/161/250005401258/health-careers-academy-charter-school.htm","2.4566"
"250279000302","PATRICK J KENNEDY","Students: 246&lt;br&gt;Pupil/Teacher Ratio: 14.5 (17 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","343 SARATOGA STREET","","EAST BOSTON","MA","02128","","42.378601","-71.031097","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000302","http://www.yourmapper.com/details/161/250279000302/patrick-j-kennedy.htm","2.4921"
"250279000319","ROGER CLAP","Students: 158&lt;br&gt;Pupil/Teacher Ratio: 14.5 (10.9 FTE)&lt;br&gt;Prekindergarten to 5th Grade","1","","35 HARVEST STREET","","DORCHESTER","MA","02125","","42.322800","-71.058098","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000319","http://www.yourmapper.com/details/161/250279000319/roger-clap.htm","2.5276"
"250279001617","COMMUNITY ACADEMY","Students: 75&lt;br&gt;Pupil/Teacher Ratio: 5.8 (13 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","76 SHIRLEY STREET","","ROXBURY","MA","02119","","42.324299","-71.070702","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279001617","http://www.yourmapper.com/details/161/250279001617/community-academy.htm","2.5418"
"250279000695","FENWAY HIGH SCHOOL","Students: 290&lt;br&gt;Pupil/Teacher Ratio: 14.6 (19.8 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","174 IPSWICH STREET","","BOSTON","MA","02215","","42.347301","-71.094002","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000695","http://www.yourmapper.com/details/161/250279000695/fenway-high-school.htm","2.5560"
"251089002561","CAPUANO ECC","Students: 370&lt;br&gt;Pupil/Teacher Ratio: 14.5 (25.5 FTE)&lt;br&gt;Prekindergarten to Kindergarten","1","","150 GLEN STREET","","SOMERVILLE","MA","02145","","42.382580","-71.086998","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=251089002561","http://www.yourmapper.com/details/161/251089002561/capuano-ecc.htm","2.5844"
"250279001128","BOSTON ARTS ACADEMY","Students: 438&lt;br&gt;Pupil/Teacher Ratio: 12.5 (35 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","174 IPSWICH STREET","","BOSTON","MA","02215","","42.346661","-71.094383","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279001128","http://www.yourmapper.com/details/161/250279001128/boston-arts-academy.htm","2.5915"
"250005301256","BOSTON COLLEGIATE CHARTER SCHOOL","Students: 412&lt;br&gt;Pupil/Teacher Ratio: 11.6 (35.4 FTE)&lt;br&gt;5th Grade to 12th Grade","4","","11 MAYHEW STREET","","DORCHESTER","MA","02125","","42.321671","-71.060898","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250005301256","http://www.yourmapper.com/details/161/250005301256/boston-collegiate-charter-school.htm","2.6057"
"250327001518","FLETCHER/MAYNARD ACADEMY","Students: 232&lt;br&gt;Pupil/Teacher Ratio: 10.3 (22.6 FTE)&lt;br&gt;Prekindergarten to 8th Grade","1","","225 WINDSOR STREET","","CAMBRIDGE","MA","02139","","42.366699","-71.095901","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250327001518","http://www.yourmapper.com/details/161/250327001518/fletchermaynard-academy.htm","2.6270"
"250279000222","DEARBORN","Students: 360&lt;br&gt;Pupil/Teacher Ratio: 11.3 (31.9 FTE)&lt;br&gt;6th Grade to 8th Grade","2","","35 GREENVILLE STREET","","ROXBURY","MA","02119","","42.327229","-71.080467","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000222","http://www.yourmapper.com/details/161/250279000222/dearborn.htm","2.6554"
"250279000313","RALPH WALDO EMERSON","Students: 217&lt;br&gt;Pupil/Teacher Ratio: 12.7 (17.1 FTE)&lt;br&gt;Kindergarten to 5th Grade","1","","6 SHIRLEY STREET","","ROXBURY","MA","02119","","42.323200","-71.073303","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250279000313","http://www.yourmapper.com/details/161/250279000313/ralph-waldo-emerson.htm","2.6767"
"250004901245","BOSTON DAY AND EVENING ACADEMY CHARTER SCHOOL","Students: 267&lt;br&gt;Pupil/Teacher Ratio: 12.4 (21.5 FTE)&lt;br&gt;9th Grade to 12th Grade","3","","20 KEARSARGE AVE","","ROXBURY","MA","02119","","42.327259","-71.081879","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=250004901245","http://www.yourmapper.com/details/161/250004901245/boston-day-and-evening-academy-charter-school.htm","2.7122"
"251089001736","E SOMERVILLE COMMUNITY","Students: 581&lt;br&gt;Pupil/Teacher Ratio: 13.3 (43.8 FTE)&lt;br&gt;Kindergarten to 8th Grade","1","","42 PRESCOTT STREET","","SOMERVILLE","MA","02143","","42.385479","-71.086807","","","http://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=251089001736","http://www.yourmapper.com/details/161/251089001736/e-somerville-community.htm","2.7122"
